dataset,oversampler,classifier,balanced_accuracy,geometric_mean,f1_score,precision,recall,avg_precision (AUPRC)
ecoli,NoOversampling,KNeighborsClassifier(),0.8547979797979798,0.8483495563132981,0.7199999999999999,0.6923076923076923,0.75,0.5462577962577961
optical_digits,NoOversampling,KNeighborsClassifier(),0.9751107930033728,0.9748081863004832,0.9720670391061452,0.9942857142857143,0.9508196721311475,0.95023816888339
satimage,NoOversampling,KNeighborsClassifier(),0.8313261209770701,0.8193665250346867,0.7079207920792079,0.7258883248730964,0.6908212560386473,0.5315909110746183
pen_digits,NoOversampling,KNeighborsClassifier(),0.9950798990748528,0.9950730180172058,0.9899569583931134,0.9885386819484241,0.9913793103448276,0.9808436986335245
abalone,NoOversampling,KNeighborsClassifier(),0.5401395348837209,0.3348029618384729,0.15873015873015872,0.25,0.11627906976744186,0.11173836787695836
sick_euthyroid,NoOversampling,KNeighborsClassifier(),0.5600213370491732,0.3752659384264041,0.20895522388059698,0.3783783783783784,0.14432989690721648,0.13411322805208337
spectrometer,NoOversampling,KNeighborsClassifier(),0.8666666666666667,0.8563488385776752,0.846153846153846,1.0,0.7333333333333333,0.756060606060606
car_eval_34,NoOversampling,KNeighborsClassifier(),0.802074348801104,0.7796245165153339,0.7105263157894737,0.84375,0.6136363636363636,0.5475280110651171
isolet,NoOversampling,KNeighborsClassifier(),0.9189814814814815,0.9162735334178526,0.8593350383631713,0.8704663212435233,0.8484848484848485,0.750232496346486
us_crime,NoOversampling,KNeighborsClassifier(),0.673431855500821,0.5960460854334932,0.47368421052631576,0.6923076923076923,0.36,0.29778919108205903
yeast_ml8,NoOversampling,KNeighborsClassifier(),0.5142427925965001,0.18361596622983825,0.061538461538461535,0.3333333333333333,0.03389830508474576,0.08272800645682002
scene,NoOversampling,KNeighborsClassifier(),0.556952697328405,0.34622372118355166,0.2,0.5833333333333334,0.1206896551724138,0.13455324224680115
libras_move,NoOversampling,KNeighborsClassifier(),0.5625,0.3535533905932738,0.2222222222222222,1.0,0.125,0.18382352941176472
thyroid_sick,NoOversampling,KNeighborsClassifier(),0.5527947863671154,0.34190866510709256,0.18,0.375,0.11842105263157894,0.09822315578101881
coil_2000,NoOversampling,KNeighborsClassifier(),0.5053121978326369,0.12436868686596396,0.02843601895734597,0.16666666666666666,0.015544041450777202,0.06119647246470387
arrhythmia,NoOversampling,KNeighborsClassifier(),0.5,0.0,0.0,0.0,0.0,0.05333333333333334
solar_flare_m0,NoOversampling,KNeighborsClassifier(),0.4988558352402746,0.0,0.0,0.0,0.0,0.04793028322440087
oil,NoOversampling,KNeighborsClassifier(),0.5340250965250966,0.2668094051701676,0.125,0.5,0.07142857142857142,0.07764976958525345
car_eval_4,NoOversampling,KNeighborsClassifier(),0.6666666666666666,0.5773502691896257,0.5,1.0,0.3333333333333333,0.357851722124927
wine_quality,NoOversampling,KNeighborsClassifier(),0.5317276814386641,0.2577839788415437,0.11594202898550725,0.4444444444444444,0.06666666666666667,0.06426166426166426
letter_img,NoOversampling,KNeighborsClassifier(),0.9768795218622208,0.9766241803635887,0.9665271966527197,0.9788135593220338,0.9545454545454546,0.9359887005649717
yeast_me2,NoOversampling,KNeighborsClassifier(),0.6449446586245492,0.5411783630599051,0.4166666666666667,0.7142857142857143,0.29411764705882354,0.23457382953181272
webpage,NoOversampling,KNeighborsClassifier(),0.7479188665086101,0.7045416787871445,0.647887323943662,0.930635838150289,0.49691358024691357,0.47664666656893057
ozone_level,NoOversampling,KNeighborsClassifier(),0.4993849938499385,0.0,0.0,0.0,0.0,0.02867383512544803
mammography,NoOversampling,KNeighborsClassifier(),0.7256346160049028,0.672667836208361,0.5864661654135338,0.8297872340425532,0.45348837209302323,0.38903253845996066
protein_homo,NoOversampling,KNeighborsClassifier(),0.6985561757330871,0.630208642322607,0.5647840531561462,0.9770114942528736,0.397196261682243,0.39342936153900454
abalone_19,NoOversampling,KNeighborsClassifier(),0.5,0.0,0.0,0.0,0.0,0.007976794778825236
