dataset,oversampler,proportion,runtime,classifier,balanced_accuracy,geometric_mean,f1_score,precision,recall,avg_precision (AUPRC)
coil_2000,SMOTE,0.9,0.032077789306640625,KNeighborsClassifier(),0.5728863791237082,0.5265377550445722,0.15331807780320367,0.09838472834067548,0.3471502590673575,0.07301918214271796
coil_2000,SMOTE,1.0,0.03805613517761231,KNeighborsClassifier(),0.5813143526204974,0.5386387002261797,0.16036655211912942,0.10294117647058823,0.3626943005181347,0.07527572148618568
coil_2000,SMOTE,0.3,0.020287036895751957,KNeighborsClassifier(),0.5687586348705174,0.48678926482428875,0.15963855421686748,0.11252653927813164,0.27461139896373055,0.07408429060613811
coil_2000,SMOTE,0.1,0.012464046478271484,KNeighborsClassifier(),0.5474801047485203,0.39250112848945073,0.14512471655328799,0.12903225806451613,0.16580310880829016,0.07105465279323701
coil_2000,SMOTE,0.5,0.01951885223388672,KNeighborsClassifier(),0.5772826221797005,0.5199284703456615,0.16153846153846155,0.10732538330494037,0.32642487046632124,0.0751323788464564
coil_2000,SMOTE,0.7,0.02629995346069336,KNeighborsClassifier(),0.5729526541446528,0.5220160863906126,0.15476190476190477,0.10046367851622875,0.33678756476683935,0.07331671899218624
coil_2000,synthsonic,0.9,27.95539212226868,KNeighborsClassifier(),0.5188221059482682,0.23641475066067905,0.08365019011406843,0.15714285714285714,0.05699481865284974,0.06509451495019797
coil_2000,synthsonic,1.0,27.99479603767395,KNeighborsClassifier(),0.5149195268303377,0.22511086297634006,0.07407407407407407,0.12987012987012986,0.05181347150259067,0.0631756601509169
coil_2000,synthsonic,0.3,28.012967109680176,KNeighborsClassifier(),0.505935013093565,0.14332430977962202,0.03571428571428572,0.12903225806451613,0.02072538860103627,0.06097159100692761
coil_2000,synthsonic,0.1,27.766234159469604,KNeighborsClassifier(),0.5111163602438241,0.17553571334833143,0.05309734513274336,0.18181818181818182,0.031088082901554404,0.0633328228796388
coil_2000,synthsonic,0.5,28.03971099853516,KNeighborsClassifier(),0.5089513762263003,0.1886883174002689,0.0546875,0.1111111111111111,0.03626943005181347,0.061401929269585966
coil_2000,synthsonic,0.7,28.1558780670166,KNeighborsClassifier(),0.5079674470691996,0.18849909289931824,0.0534351145038168,0.10144927536231885,0.03626943005181347,0.06105149999372304
coil_2000,ADASYN,0.3,0.2454860210418701,KNeighborsClassifier(),0.5746936479640823,0.5022275714833884,0.16402877697841728,0.11354581673306773,0.29533678756476683,0.07548367069737308
coil_2000,ADASYN,0.1,0.24530601501464844,KNeighborsClassifier(),0.5624990441102748,0.4318540366120493,0.16702355460385437,0.14233576642335766,0.20207253886010362,0.07626369194963209
coil_2000,ADASYN,0.5,0.2588961124420166,KNeighborsClassifier(),0.5667228021758599,0.5056872741878077,0.15113350125944583,0.09983361064891846,0.31088082901554404,0.07206041486485286
coil_2000,ADASYN,0.7,0.2662198543548584,KNeighborsClassifier(),0.5734777562336756,0.519975860691446,0.15609756097560976,0.10207336523125997,0.3316062176165803,0.07363841549402382
coil_2000,ADASYN,1.0,0.2704310417175293,KNeighborsClassifier(),0.5712464971952071,0.525455456356426,0.15158371040723984,0.09696092619392185,0.3471502590673575,0.07252490885861178
coil_2000,ADASYN,0.9,0.269747257232666,KNeighborsClassifier(),0.5803304234633967,0.5379757600362307,0.15927189988623436,0.10204081632653061,0.3626943005181347,0.0749491659935223
coil_2000,Borderline_SMOTE1,0.9,0.13626384735107422,KNeighborsClassifier(),0.5698436759185463,0.4597459472664779,0.17208413001912046,0.13636363636363635,0.23316062176165803,0.07744546305947347
