dataset,oversampler,proportion,runtime,classifier,balanced_accuracy,geometric_mean,f1_score,precision,recall,avg_precision (AUPRC)
isolet,SMOTE,0.1,0.12497496604919435,KNeighborsClassifier(),0.9627525252525253,0.9626777997163578,0.7598425196850394,0.6225806451612903,0.9747474747474747,0.6088014136401232
isolet,SMOTE,0.3,0.13495898246765134,KNeighborsClassifier(),0.9574915824915825,0.9569429922870878,0.6853146853146853,0.5240641711229946,0.98989898989899,0.5195475944139046
isolet,SMOTE,0.7,0.1661529541015625,KNeighborsClassifier(),0.946969696969697,0.9459961325436118,0.6302250803858521,0.46226415094339623,0.98989898989899,0.45837181686238293
isolet,SMOTE,0.5,0.13959717750549314,KNeighborsClassifier(),0.95496632996633,0.9539039049782005,0.6491803278688525,0.48058252427184467,1.0,0.48058252427184467
isolet,SMOTE,1.0,0.17851018905639648,KNeighborsClassifier(),0.9473905723905724,0.9461960925408489,0.6224328593996841,0.4528735632183908,0.9949494949494949,0.4509748233886165
isolet,SMOTE,0.9,0.18059110641479487,KNeighborsClassifier(),0.945496632996633,0.9444534470843364,0.6232114467408585,0.4547563805104408,0.98989898989899,0.45093988249440686
isolet,synthsonic,0.9,2396.950390100479,KNeighborsClassifier(),0.9431818181818182,0.9423692969572867,0.8544152744630071,0.8099547511312217,0.9040404040404041,0.739613327848622
isolet,synthsonic,0.7,2379.4071550369267,KNeighborsClassifier(),0.9322390572390573,0.9307054482295387,0.8571428571428572,0.8365384615384616,0.8787878787878788,0.7444638694638696
isolet,synthsonic,0.5,2376.7108421325684,KNeighborsClassifier(),0.9375,0.9362388636862621,0.8648648648648649,0.8421052631578947,0.8888888888888888,0.7570850202429149
isolet,synthsonic,0.1,2412.2012321949005,KNeighborsClassifier(),0.9271885521885521,0.9250079624736917,0.8746803069053708,0.8860103626943006,0.8636363636363636,0.7756802782709519
isolet,synthsonic,0.3,2397.102461099625,KNeighborsClassifier(),0.9381313131313131,0.936838056620359,0.8712871287128712,0.8543689320388349,0.8888888888888888,0.7679860592481951
isolet,synthsonic,1.0,2385.158658027649,KNeighborsClassifier(),0.944023569023569,0.9431764656679715,0.8626506024096385,0.8248847926267281,0.9040404040404041,0.7531106885945595
isolet,ADASYN,0.9,0.6323449611663818,KNeighborsClassifier(),0.9467592592592593,0.945532017531538,0.6194968553459119,0.4497716894977169,0.9949494949494949,0.4478886156968349
isolet,ADASYN,0.5,0.6076748371124268,KNeighborsClassifier(),0.9488636363636364,0.9477437913548299,0.6293929712460065,0.4602803738317757,0.9949494949494949,0.4583442258675904
isolet,ADASYN,0.7,0.6296560764312744,KNeighborsClassifier(),0.950547138047138,0.9492598569908431,0.6275752773375595,0.45727482678983833,1.0,0.45727482678983833
isolet,ADASYN,1.0,0.6511738300323486,KNeighborsClassifier(),0.9484427609427609,0.9470404014008704,0.6177847113884556,0.4469525959367946,1.0,0.4469525959367946
isolet,ADASYN,0.3,0.5825619697570801,KNeighborsClassifier(),0.9511784511784511,0.9503900072430415,0.6511627906976744,0.48514851485148514,0.98989898989899,0.481025025579481
isolet,ADASYN,0.1,0.5811071395874023,KNeighborsClassifier(),0.9608585858585859,0.9605590594880753,0.7182320441988951,0.5652173913043478,0.9848484848484849,0.5578189926016013
isolet,Borderline_SMOTE1,0.9,2.219788074493408,KNeighborsClassifier(),0.952020202020202,0.9512663467627877,0.6555183946488294,0.49,0.98989898989899,0.48582750582750583
isolet,Borderline_SMOTE1,1.0,2.2360999584198,KNeighborsClassifier(),0.9501262626262627,0.9492934451988169,0.6457990115321253,0.4792176039119804,0.98989898989899,0.47515402283128444
isolet,Borderline_SMOTE1,0.3,2.1836600303649902,KNeighborsClassifier(),0.9539141414141414,0.9534124268049817,0.6770833333333334,0.5158730158730159,0.9848484848484849,0.5092222592222593
isolet,Borderline_SMOTE1,0.1,2.218142032623291,KNeighborsClassifier(),0.9587542087542087,0.9585232352448042,0.7185185185185186,0.5672514619883041,0.9797979797979798,0.5573458380475924
isolet,Borderline_SMOTE1,0.5,2.214249849319458,KNeighborsClassifier(),0.9543350168350169,0.9536721282376858,0.6678023850085179,0.5038560411311054,0.98989898989899,0.4995435869471859
isolet,Borderline_SMOTE1,0.7,2.201334953308105,KNeighborsClassifier(),0.952020202020202,0.9512663467627877,0.6555183946488294,0.49,0.98989898989899,0.48582750582750583
isolet,polynom_fit_SMOTE,0.9,0.044292688369750984,KNeighborsClassifier(),0.9368686868686869,0.9350666052040025,0.5768667642752563,0.4061855670103093,0.9949494949494949,0.40452262514118187
isolet,polynom_fit_SMOTE,1.0,0.05565381050109863,KNeighborsClassifier(),0.9356060606060606,0.9337221521647208,0.5718432510885341,0.40122199592668023,0.9949494949494949,0.3995841225983792
isolet,polynom_fit_SMOTE,0.3,0.015476226806640625,KNeighborsClassifier(),0.9484427609427609,0.9473018497167384,0.6273885350318472,0.45813953488372094,0.9949494949494949,0.4562141992374551
isolet,polynom_fit_SMOTE,0.1,0.008819103240966797,KNeighborsClassifier(),0.9547558922558923,0.9541088913145044,0.67008547008547,0.5064599483204134,0.98989898989899,0.5021211920436727
isolet,polynom_fit_SMOTE,0.5,0.021770000457763672,KNeighborsClassifier(),0.9429713804713804,0.9415377315877473,0.6024464831804281,0.43201754385964913,0.9949494949494949,0.4302241374609796
isolet,polynom_fit_SMOTE,0.7,0.025210857391357425,KNeighborsClassifier(),0.9372895622895623,0.9355143268505359,0.5785609397944199,0.4078674948240166,0.9949494949494949,0.4061960583699714
isolet,Random_SMOTE,0.7,0.24051618576049805,KNeighborsClassifier(),0.9452861952861953,0.943701430841551,0.6036585365853658,0.43231441048034935,1.0,0.43231441048034935
isolet,Random_SMOTE,0.5,0.20398187637329104,KNeighborsClassifier(),0.9438131313131313,0.9426872866849867,0.6153846153846154,0.44646924829157175,0.98989898989899,0.442736458681789
isolet,Random_SMOTE,0.1,0.1391470432281494,KNeighborsClassifier(),0.9602272727272727,0.9599115642614888,0.7142857142857143,0.5603448275862069,0.9848484848484849,0.5530202556064625
isolet,Random_SMOTE,1.0,0.2911498546600342,KNeighborsClassifier(),0.942550505050505,0.9407980708425214,0.5919282511210763,0.42038216560509556,1.0,0.42038216560509556
isolet,Random_SMOTE,0.3,0.17073297500610352,KNeighborsClassifier(),0.946969696969697,0.9462118179391512,0.6403940886699507,0.4744525547445255,0.9848484848484849,0.46842938083813995
isolet,Random_SMOTE,0.9,0.2850809097290039,KNeighborsClassifier(),0.9429713804713804,0.941245324526375,0.5937031484257871,0.42217484008528783,1.0,0.42217484008528783
isolet,RandomOverSampler,0.9,0.023103952407836914,KNeighborsClassifier(),0.9583333333333333,0.9583125388675664,0.7594433399602385,0.6262295081967213,0.9646464646464646,0.6068095838587642
isolet,RandomOverSampler,1.0,0.022624969482421875,KNeighborsClassifier(),0.9583333333333333,0.9583125388675664,0.7594433399602385,0.6262295081967213,0.9646464646464646,0.6068095838587642
