dataset,oversampler,proportion,runtime,classifier,balanced_accuracy,geometric_mean,f1_score,precision,recall,avg_precision (AUPRC)
mammography,SMOTE,0.7,0.01524496078491211,KNeighborsClassifier(),0.8661065058220172,0.8604683417673313,0.47311827956989255,0.34196891191709844,0.7674418604651163,0.267859843732009
mammography,SMOTE,0.5,0.010543107986450195,KNeighborsClassifier(),0.8622342999064607,0.8556416877428532,0.4924242424242424,0.3651685393258427,0.7558139534883721,0.2816889924340147
mammography,SMOTE,0.1,0.003262042999267578,KNeighborsClassifier(),0.8367819243299035,0.8230934480621354,0.6210526315789473,0.5673076923076923,0.686046511627907,0.3965145540886816
mammography,SMOTE,0.3,0.006994247436523438,KNeighborsClassifier(),0.8641760474792761,0.8573551758885057,0.52,0.39634146341463417,0.7558139534883721,0.3052499234313571
mammography,SMOTE,0.9,0.018524885177612305,KNeighborsClassifier(),0.8741283101635325,0.8701377084396182,0.44299674267100986,0.3076923076923077,0.7906976744186046,0.24816831930300898
mammography,SMOTE,1.0,0.02378511428833008,KNeighborsClassifier(),0.8687304454407638,0.8640911697595832,0.4422442244224422,0.3087557603686636,0.7790697674418605,0.24568993488841306
mammography,synthsonic,0.9,3.275118112564087,KNeighborsClassifier(),0.8638873657387995,0.8584868346082113,0.447457627118644,0.3157894736842105,0.7674418604651163,0.24776864694862988
mammography,synthsonic,1.0,3.315558910369873,KNeighborsClassifier(),0.876070057736348,0.8719003969656262,0.4641638225255973,0.3285024154589372,0.7906976744186046,0.26462282311848345
mammography,synthsonic,0.3,3.2508029937744136,KNeighborsClassifier(),0.8245879431022805,0.810798646828424,0.49361702127659574,0.38926174496644295,0.6744186046511628,0.27011138293311254
mammography,synthsonic,0.1,3.3091630935668945,KNeighborsClassifier(),0.8067412831016354,0.7866700634510779,0.5625,0.5094339622641509,0.627906976744186,0.32854687629468593
mammography,synthsonic,0.5,3.499009132385254,KNeighborsClassifier(),0.867216075863626,0.8614573861648168,0.48708487084870855,0.3567567567567568,0.7674418604651163,0.2792086548880258
mammography,synthsonic,0.7,3.387440919876098,KNeighborsClassifier(),0.871504370544786,0.8665885482902878,0.47349823321554774,0.3401015228426396,0.7790697674418605,0.27011047076930134
mammography,ADASYN,0.5,0.2404139041900635,KNeighborsClassifier(),0.8680369641647583,0.8634656965181877,0.4350649350649351,0.30180180180180183,0.7790697674418605,0.24027231600492774
mammography,ADASYN,0.7,0.24452567100524905,KNeighborsClassifier(),0.859449085572364,0.8545100357627387,0.4036697247706423,0.27385892116182575,0.7674418604651163,0.21558938571052066
mammography,ADASYN,0.3,0.2357199192047119,KNeighborsClassifier(),0.8593216785472373,0.8530650022562055,0.456140350877193,0.32663316582914576,0.7558139534883721,0.25256341944232513
mammography,ADASYN,0.1,0.2338950634002685,KNeighborsClassifier(),0.8392671676934491,0.8272368899980589,0.5581395348837208,0.46511627906976744,0.6976744186046512,0.331543891057414
mammography,ADASYN,1.0,0.25614023208618164,KNeighborsClassifier(),0.8624891139567139,0.8584455045725804,0.3850574712643678,0.25572519083969464,0.7790697674418605,0.2043754214181698
mammography,ADASYN,0.9,0.2449309825897217,KNeighborsClassifier(),0.8676095861690805,0.8641938161334933,0.384180790960452,0.2537313432835821,0.7906976744186046,0.20550151023564453
mammography,Borderline_SMOTE1,0.9,0.03193092346191406,KNeighborsClassifier(),0.8545011773054221,0.8439970762601436,0.6492146596858638,0.5904761904761905,0.7209302325581395,0.4321944402189877
mammography,Borderline_SMOTE1,1.0,0.036808013916015625,KNeighborsClassifier(),0.84868722381705,0.8371629793619207,0.6421052631578947,0.5865384615384616,0.7093023255813954,0.42280632699856396
mammography,Borderline_SMOTE1,0.3,0.02120494842529297,KNeighborsClassifier(),0.8380301906267136,0.8241332184300263,0.6519337016574586,0.6210526315789474,0.686046511627907,0.4333860821933799
mammography,Borderline_SMOTE1,0.1,0.021913766860961914,KNeighborsClassifier(),0.8215592039480051,0.8036943373839972,0.6549707602339181,0.6588235294117647,0.6511627906976745,0.43712924661273533
mammography,Borderline_SMOTE1,0.5,0.02883219718933105,KNeighborsClassifier(),0.84868722381705,0.8371629793619207,0.6421052631578947,0.5865384615384616,0.7093023255813954,0.42280632699856396
mammography,Borderline_SMOTE1,0.7,0.03029203414916992,KNeighborsClassifier(),0.843011966583879,0.8303891695771356,0.6382978723404256,0.5882352941176471,0.6976744186046512,0.4174408783001208
mammography,polynom_fit_SMOTE,0.9,0.019151687622070312,KNeighborsClassifier(),0.8618295003709319,0.8537623237609305,0.5714285714285714,0.463768115942029,0.7441860465116279,0.35109020502507626
mammography,polynom_fit_SMOTE,1.0,0.021976947784423828,KNeighborsClassifier(),0.8608586265845241,0.8529156371084579,0.5541125541125541,0.4413793103448276,0.7441860465116279,0.33442876830157753
mammography,polynom_fit_SMOTE,0.3,0.005804777145385742,KNeighborsClassifier(),0.8190626713543852,0.8016690649399189,0.5925925925925926,0.5436893203883495,0.6511627906976745,0.3621581337602789
