dataset,oversampler,proportion,runtime,classifier,balanced_accuracy,geometric_mean,f1_score,precision,recall,avg_precision (AUPRC)
protein_homo,SMOTE,0.1,0.1013791561126709,KNeighborsClassifier(),0.7943783586142268,0.77150884052414,0.3528610354223433,0.24903846153846154,0.6051401869158879,0.15421684077625603
protein_homo,SMOTE,1.0,0.4118521213531494,KNeighborsClassifier(),0.8145400916346612,0.8012909894195973,0.22170542635658916,0.13289962825278812,0.6682242990654206,0.0917590666444514
protein_homo,SMOTE,0.3,0.16054821014404294,KNeighborsClassifier(),0.8106065061785759,0.794442030694488,0.2704280155642023,0.17076167076167076,0.6495327102803738,0.11403392361321714
protein_homo,SMOTE,0.7,0.3051269054412842,KNeighborsClassifier(),0.8145046552525246,0.8008313672449784,0.23067583974099556,0.1395007342143906,0.6658878504672897,0.09586494063908226
protein_homo,SMOTE,0.5,0.2327589988708496,KNeighborsClassifier(),0.8114155633845617,0.7964982192298037,0.24265975820379965,0.14883474576271186,0.6565420560747663,0.10077253013397253
protein_homo,SMOTE,0.9,0.4111979007720947,KNeighborsClassifier(),0.8146659569587644,0.8013959459973504,0.22274143302180685,0.1336448598130841,0.6682242990654206,0.09225704848147162
protein_homo,synthsonic,1.0,68.4522340297699,KNeighborsClassifier(),0.813454944331061,0.804968748323689,0.14781746031746032,0.08268590455049944,0.6962616822429907,0.06027384208598045
protein_homo,synthsonic,0.9,67.4473512172699,KNeighborsClassifier(),0.8222539009428136,0.814269431496138,0.16138482023968043,0.09107303877366997,0.7079439252336449,0.06707346521187474
protein_homo,synthsonic,0.7,65.42677307128906,KNeighborsClassifier(),0.8200929188011818,0.8095882518153772,0.19268451992161986,0.11199696279422931,0.6892523364485982,0.07995935602276331
protein_homo,synthsonic,0.5,63.584803819656365,KNeighborsClassifier(),0.8078624166534332,0.7926586830218224,0.22962962962962963,0.13936063936063936,0.6518691588785047,0.09394274466689898
protein_homo,synthsonic,0.1,59.76486086845398,KNeighborsClassifier(),0.7550519145448948,0.7163290051149732,0.46673706441393875,0.4258188824662813,0.5163551401869159,0.2241774820022228
protein_homo,synthsonic,0.3,61.67757415771485,KNeighborsClassifier(),0.7884088231200093,0.765103105430929,0.30117647058823527,0.20125786163522014,0.5981308411214953,0.12395456632964169
protein_homo,ADASYN,0.7,1.3221261501312256,KNeighborsClassifier(),0.8141729844393601,0.8009847875137913,0.21873804971319308,0.13077274805669867,0.6682242990654206,0.0903378336162234
protein_homo,ADASYN,0.5,1.200835943222046,KNeighborsClassifier(),0.8126651492249088,0.798867783249687,0.22415153906866614,0.13485280151946819,0.6635514018691588,0.09247565297395544
protein_homo,ADASYN,0.1,1.0516250133514404,KNeighborsClassifier(),0.7963871064503039,0.775335026935067,0.3047508690614137,0.20261941448382126,0.6144859813084113,0.12793728581174932
protein_homo,ADASYN,0.3,1.1499300003051758,KNeighborsClassifier(),0.8115309399316564,0.7965933167853927,0.2438177874186551,0.14970697922216303,0.6565420560747663,0.10134518808281781
protein_homo,ADASYN,0.9,1.2725911140441897,KNeighborsClassifier(),0.8137009894739731,0.8005909272647905,0.2150375939849624,0.12813620071684587,0.6682242990654206,0.08857602861809746
protein_homo,ADASYN,1.0,1.4504501819610596,KNeighborsClassifier(),0.8149741015431247,0.8020770345841329,0.21652206714447378,0.12910481331533963,0.6705607476635514,0.08950413496759858
protein_homo,Borderline_SMOTE1,0.7,2.318315029144287,KNeighborsClassifier(),0.7674933195312791,0.7336375427947658,0.46539618856569703,0.4077328646748682,0.5420560747663551,0.22508908969297592
protein_homo,Borderline_SMOTE1,0.5,2.278092861175537,KNeighborsClassifier(),0.7675038083082877,0.7336452925007634,0.465863453815261,0.4084507042253521,0.5420560747663551,0.2254781989820233
protein_homo,Borderline_SMOTE1,0.1,2.1802921295166016,KNeighborsClassifier(),0.7632294846383528,0.7275851446302197,0.4779874213836478,0.43346007604562736,0.5327102803738317,0.23506681569630758
protein_homo,Borderline_SMOTE1,0.3,2.1664340496063232,KNeighborsClassifier(),0.7664299830022997,0.7321320461153654,0.4685598377281948,0.41397849462365593,0.5397196261682243,0.22752812275931517
protein_homo,Borderline_SMOTE1,1.0,2.4816019535064697,KNeighborsClassifier(),0.7674933195312791,0.7336375427947658,0.46539618856569703,0.4077328646748682,0.5420560747663551,0.22508908969297592
protein_homo,Borderline_SMOTE1,0.9,2.3892550468444824,KNeighborsClassifier(),0.7663250952322137,0.7320547199307923,0.46385542168674704,0.40669014084507044,0.5397196261682243,0.22359445518255522
protein_homo,polynom_fit_SMOTE,0.7,0.2153458595275879,KNeighborsClassifier(),0.8132457079336325,0.7961131595898173,0.32742316784869974,0.21914556962025317,0.647196261682243,0.1449696170991137
protein_homo,polynom_fit_SMOTE,0.5,0.18531298637390134,KNeighborsClassifier(),0.8101605861167802,0.7921294886102852,0.3323226197695573,0.2244062244062244,0.6401869158878505,0.14686372504114553
protein_homo,polynom_fit_SMOTE,0.1,0.050892114639282234,KNeighborsClassifier(),0.7966819195050081,0.7727310862943898,0.454225352112676,0.3644067796610169,0.602803738317757,0.22320021954489833
protein_homo,polynom_fit_SMOTE,0.3,0.09768128395080566,KNeighborsClassifier(),0.8087156835643805,0.7899507833582395,0.3482714468629961,0.23985890652557318,0.6355140186915887,0.15567707570807676
protein_homo,polynom_fit_SMOTE,1.0,0.3504018783569336,KNeighborsClassifier(),0.8129939772854261,0.7959084900936426,0.32284382284382285,0.21506211180124224,0.647196261682243,0.1423268184639127
protein_homo,polynom_fit_SMOTE,0.9,0.3127899169921875,KNeighborsClassifier(),0.8130149548394433,0.7959255478951661,0.323220536756126,0.21539657853810265,0.647196261682243,0.14254328408566583
protein_homo,Random_SMOTE,0.9,3.0544769763946533,KNeighborsClassifier(),0.8239502400655598,0.8136261400725707,0.20349434737923947,0.11922922521075874,0.6939252336448598,0.08545977393281362
protein_homo,Random_SMOTE,1.0,3.420307874679565,KNeighborsClassifier(),0.8231635817899148,0.8129549383292651,0.19839679358717435,0.11574434918160562,0.6939252336448598,0.08304153052006016
protein_homo,Random_SMOTE,0.3,1.0614218711853027,KNeighborsClassifier(),0.810337768027463,0.794691763016407,0.25432999088422975,0.1579841449603624,0.6518691588785047,0.10608283359755956
protein_homo,Random_SMOTE,0.1,0.37710094451904297,KNeighborsClassifier(),0.800684956349043,0.7798363176885958,0.3439325113562622,0.23809523809523808,0.6191588785046729,0.1508076948963216
protein_homo,Random_SMOTE,0.5,1.7395012378692627,KNeighborsClassifier(),0.8197584052353701,0.8073328476829881,0.22906793048973148,0.13783269961977188,0.677570093457944,0.09626045733100307
protein_homo,Random_SMOTE,0.7,2.369642972946167,KNeighborsClassifier(),0.8232919957888051,0.8123072571717399,0.21400072542618787,0.1266638042078145,0.6892523364485982,0.09006851073539797
protein_homo,RandomOverSampler,0.3,0.04866504669189453,KNeighborsClassifier(),0.7819565098055361,0.753362187630972,0.45412418906394814,0.3763440860215054,0.572429906542056,0.21923534199443462
protein_homo,RandomOverSampler,0.1,0.0554959774017334,KNeighborsClassifier(),0.7819565098055361,0.753362187630972,0.45412418906394814,0.3763440860215054,0.572429906542056,0.21923534199443462
protein_homo,RandomOverSampler,0.5,0.05864381790161133,KNeighborsClassifier(),0.7819565098055361,0.753362187630972,0.45412418906394814,0.3763440860215054,0.572429906542056,0.21923534199443462
protein_homo,RandomOverSampler,0.7,0.06308197975158691,KNeighborsClassifier(),0.7819565098055361,0.753362187630972,0.45412418906394814,0.3763440860215054,0.572429906542056,0.21923534199443462
protein_homo,RandomOverSampler,0.9,0.10114908218383788,KNeighborsClassifier(),0.7819565098055361,0.753362187630972,0.45412418906394814,0.3763440860215054,0.572429906542056,0.21923534199443462
protein_homo,RandomOverSampler,1.0,0.07605576515197754,KNeighborsClassifier(),0.7819565098055361,0.753362187630972,0.45412418906394814,0.3763440860215054,0.572429906542056,0.21923534199443462
protein_homo,SVMSMOTE,0.3,18.03979206085205,KNeighborsClassifier(),0.7927092216935356,0.7684576526861667,0.3968992248062015,0.29698375870069604,0.5981308411214953,0.18121117765852446
protein_homo,SVMSMOTE,0.1,17.970963954925534,KNeighborsClassifier(),0.7844293125047788,0.7565349067157644,0.46254681647940077,0.3859375,0.5771028037383178,0.226488763552694
protein_homo,SVMSMOTE,0.5,18.044266939163208,KNeighborsClassifier(),0.7933215408111451,0.7695234271618367,0.3824404761904762,0.28056768558951967,0.6004672897196262,0.17202695913102514
protein_homo,SVMSMOTE,0.7,18.061861038208008,KNeighborsClassifier(),0.7930698101629388,0.7693269739913992,0.37573099415204675,0.2734042553191489,0.6004672897196262,0.16772555357148008
protein_homo,SVMSMOTE,1.0,18.053803920745853,KNeighborsClassifier(),0.7930488326089216,0.7693106006293893,0.3751824817518248,0.27282377919320594,0.6004672897196262,0.16737699664538816
protein_homo,SVMSMOTE,0.9,18.02253794670105,KNeighborsClassifier(),0.7930698101629388,0.7693269739913992,0.37573099415204675,0.2734042553191489,0.6004672897196262,0.16772555357148008
