dataset,oversampler,proportion,runtime,classifier,balanced_accuracy,geometric_mean,f1_score,precision,recall,avg_precision (AUPRC)
satimage,SMOTE,0.9,0.017580032348632812,KNeighborsClassifier(),0.8951033090653422,0.8946776308943792,0.5858895705521473,0.42921348314606744,0.9227053140096618,0.40357051842897196
satimage,SMOTE,0.3,0.010705947875976562,KNeighborsClassifier(),0.887448685672813,0.88741060082743,0.6179966044142615,0.47643979057591623,0.8792270531400966,0.4306689978878399
satimage,SMOTE,0.1,0.009959936141967772,KNeighborsClassifier(),0.8583157560499874,0.8557709771806484,0.6356589147286823,0.5307443365695793,0.7922705314009661,0.44073791866431256
satimage,SMOTE,0.5,0.015030860900878906,KNeighborsClassifier(),0.8828218910888843,0.8828210257420083,0.5931928687196111,0.44634146341463415,0.8840579710144928,0.40589116355422955
satimage,SMOTE,1.0,0.019381999969482425,KNeighborsClassifier(),0.8983692817128213,0.8977257439182426,0.5848484848484848,0.4260485651214128,0.9323671497584541,0.4038250234207425
satimage,SMOTE,0.7,0.015239953994750975,KNeighborsClassifier(),0.884851783810755,0.8847457365442885,0.58125,0.4295612009237875,0.8985507246376812,0.3958695340160193
satimage,synthsonic,0.9,25.02026081085205,KNeighborsClassifier(),0.8807126170873875,0.8800048201372271,0.6445672191528545,0.5208333333333334,0.8454106280193237,0.4553839487977292
satimage,synthsonic,1.0,25.091161012649536,KNeighborsClassifier(),0.8761425234174776,0.8752108704902912,0.6407407407407407,0.5195195195195195,0.8357487922705314,0.4501953439560907
satimage,synthsonic,0.7,25.222023963928226,KNeighborsClassifier(),0.8730012927808396,0.8711661115757147,0.6614481409001958,0.555921052631579,0.8164251207729468,0.4717586846630209
satimage,synthsonic,0.5,24.715257167816162,KNeighborsClassifier(),0.868952847519902,0.8667245868957069,0.6600790513833992,0.5585284280936454,0.8067632850241546,0.46943262114195433
satimage,synthsonic,0.1,24.957294940948486,KNeighborsClassifier(),0.8440611462656777,0.8355700177826777,0.702576112412178,0.6818181818181818,0.7246376811594203,0.5209073044371497
satimage,synthsonic,0.3,25.05386185646057,KNeighborsClassifier(),0.8558889569299857,0.8513764176026299,0.6708860759493671,0.5955056179775281,0.7681159420289855,0.4800162287928593
satimage,ADASYN,0.7,0.22712302207946775,KNeighborsClassifier(),0.8941960944410424,0.8933810082207752,0.5710059171597633,0.4115138592750533,0.9323671497584541,0.39027334115819473
satimage,ADASYN,0.5,0.22546887397766116,KNeighborsClassifier(),0.8954321743666508,0.894856473621277,0.5809379727685324,0.42290748898678415,0.927536231884058,0.3993241656630059
satimage,ADASYN,0.1,0.2253937721252441,KNeighborsClassifier(),0.8713796466399039,0.8704397357457765,0.6277372262773723,0.5043988269794721,0.8309178743961353,0.4355923439112162
satimage,ADASYN,0.3,0.21963882446289065,KNeighborsClassifier(),0.8933342405479576,0.8932103340950434,0.5987261146496816,0.44655581947743467,0.9082125603864735,0.4145129902271109
satimage,ADASYN,0.9,0.2314329147338867,KNeighborsClassifier(),0.8881290966410378,0.8872543998157261,0.5573294629898403,0.3983402489626556,0.927536231884058,0.3765371604232345
satimage,ADASYN,1.0,0.2437896728515625,KNeighborsClassifier(),0.8889796103513189,0.8879201929478668,0.5545977011494253,0.3946830265848671,0.9323671497584541,0.3745808256547844
satimage,Borderline_SMOTE1,0.5,0.06417298316955566,KNeighborsClassifier(),0.8751219069651403,0.875121606010127,0.5782747603833867,0.431980906921241,0.8743961352657005,0.3899634901344414
satimage,Borderline_SMOTE1,0.7,0.06752395629882812,KNeighborsClassifier(),0.8733641786305595,0.8733444997350801,0.5660964230171073,0.41743119266055045,0.8792270531400966,0.378787042232784
satimage,Borderline_SMOTE1,0.3,0.06096410751342773,KNeighborsClassifier(),0.8746569594701867,0.8745325200876835,0.5963149078726969,0.4564102564102564,0.8599033816425121,0.40612220689597256
satimage,Borderline_SMOTE1,0.1,0.05897712707519531,KNeighborsClassifier(),0.8632147150212062,0.8613668674150581,0.6325757575757576,0.5202492211838006,0.8067632850241546,0.4385503624272486
satimage,Borderline_SMOTE1,0.9,0.0727379322052002,KNeighborsClassifier(),0.8751899480619627,0.8751806367666558,0.5723270440251572,0.42424242424242425,0.8792270531400966,0.38477566130476965
satimage,Borderline_SMOTE1,1.0,0.06938385963439941,KNeighborsClassifier(),0.8749971649542991,0.8749502502837521,0.5656877897990726,0.4159090909090909,0.8840579710144928,0.3789871820638217
satimage,polynom_fit_SMOTE,1.0,0.010650873184204102,KNeighborsClassifier(),0.8832754984010343,0.88326622043785,0.6016528925619835,0.457286432160804,0.8792270531400966,0.4138288470107847
satimage,polynom_fit_SMOTE,0.5,0.005378007888793945,KNeighborsClassifier(),0.8790229298496293,0.8786965837966507,0.6210526315789473,0.48760330578512395,0.855072463768116,0.43106045380447466
satimage,polynom_fit_SMOTE,0.7,0.007387876510620117,KNeighborsClassifier(),0.8815744709804723,0.8814926691202432,0.6091370558375635,0.46875,0.8695652173913043,0.4203205600589536
satimage,polynom_fit_SMOTE,0.3,0.004661798477172852,KNeighborsClassifier(),0.8715724297475675,0.870384726440843,0.6368715083798883,0.5181818181818182,0.8260869565217391,0.4450123936490923
satimage,polynom_fit_SMOTE,0.1,0.0023081302642822266,KNeighborsClassifier(),0.865947699076909,0.8632065867594246,0.663983903420523,0.5689655172413793,0.7971014492753623,0.4732972496802446
satimage,polynom_fit_SMOTE,0.9,0.00922083854675293,KNeighborsClassifier(),0.8826858088952394,0.8826468821313305,0.6063651591289783,0.4641025641025641,0.8743961352657005,0.4180505430321201
satimage,Random_SMOTE,0.9,0.12024307250976562,KNeighborsClassifier(),0.8914517702025357,0.890903740365215,0.5735735735735735,0.41612200435729846,0.9227053140096618,0.39149094138233004
satimage,Random_SMOTE,1.0,0.13445806503295898,KNeighborsClassifier(),0.8898868249756187,0.8892814560321775,0.5684523809523809,0.410752688172043,0.9227053140096618,0.38653664480559674
satimage,Random_SMOTE,0.7,0.10184097290039062,KNeighborsClassifier(),0.8924270259236579,0.8920641389206599,0.5828220858895705,0.42696629213483145,0.9178743961352657,0.39990519404171465
satimage,Random_SMOTE,0.5,0.0743110179901123,KNeighborsClassifier(),0.888571363770384,0.88844792990718,0.5880503144654088,0.4358974358974359,0.9033816425120773,0.4031979374647024
satimage,Random_SMOTE,0.1,0.021829843521118164,KNeighborsClassifier(),0.8683744981969109,0.8670952196203209,0.6307977736549165,0.5120481927710844,0.821256038647343,0.4379426327269284
satimage,Random_SMOTE,0.3,0.043554067611694336,KNeighborsClassifier(),0.8859517815427185,0.8859497574357137,0.6049586776859505,0.45979899497487436,0.8840579710144928,0.417788401600239
satimage,RandomOverSampler,1.0,0.002081871032714844,KNeighborsClassifier(),0.879612619355424,0.8793917819027456,0.615916955017301,0.4797843665768194,0.8599033816425121,0.4262216832710847
satimage,RandomOverSampler,0.3,0.002094268798828125,KNeighborsClassifier(),0.8718332539520537,0.8706322409422037,0.6380597014925373,0.5197568389057751,0.8260869565217391,0.44631349772540446
satimage,RandomOverSampler,0.7,0.002007007598876953,KNeighborsClassifier(),0.879612619355424,0.8793917819027456,0.615916955017301,0.4797843665768194,0.8599033816425121,0.4262216832710847
satimage,RandomOverSampler,0.5,0.0016782283782958984,KNeighborsClassifier(),0.8763466467079449,0.8759577437911824,0.6175438596491228,0.48484848484848486,0.8502415458937198,0.42683342885995795
satimage,RandomOverSampler,0.9,0.00185394287109375,KNeighborsClassifier(),0.879612619355424,0.8793917819027456,0.615916955017301,0.4797843665768194,0.8599033816425121,0.4262216832710847
satimage,SVMSMOTE,0.5,0.24923110008239746,KNeighborsClassifier(),0.8892177541901976,0.8892063573151554,0.6035889070146819,0.45566502463054187,0.893719806763285,0.4175946732041566
satimage,SVMSMOTE,0.7,0.2610402107238769,KNeighborsClassifier(),0.8939239300537525,0.8937194389734967,0.5943396226415094,0.4405594405594406,0.9130434782608695,0.4107245002602409
satimage,SVMSMOTE,0.3,0.24483513832092285,KNeighborsClassifier(),0.8841146719285115,0.8839022311796972,0.626970227670753,0.49175824175824173,0.8647342995169082,0.43842289291810294
satimage,SVMSMOTE,1.0,0.25653505325317383,KNeighborsClassifier(),0.8919053775146855,0.8915272359897356,0.581039755351682,0.4250559284116331,0.9178743961352657,0.3981517200928852
satimage,SVMSMOTE,0.9,0.2661890983581543,KNeighborsClassifier(),0.8929486743326303,0.8926007189023653,0.5846153846153846,0.4288939051918736,0.9178743961352657,0.40167450071242966
