dataset,oversampler,classifier,balanced_accuracy,geometric_mean,f1_score,precision,recall,avg_precision (AUPRC)
ecoli,NoOversampling,DecisionTreeClassifier(random_state=5),0.8497474747474747,0.8438727464026861,0.6923076923076924,0.6428571428571429,0.75,0.5091698841698842
optical_digits,NoOversampling,DecisionTreeClassifier(random_state=5),0.8720880069025021,0.8661499311276352,0.7663043478260869,0.7621621621621621,0.7704918032786885,0.6098812081490708
satimage,NoOversampling,DecisionTreeClassifier(random_state=5),0.7235603637930643,0.6889372475840173,0.4988009592326139,0.49523809523809526,0.5024154589371981,0.2973086835651316
pen_digits,NoOversampling,DecisionTreeClassifier(random_state=5),0.9515839641155033,0.9505874417646735,0.9294117647058823,0.9518072289156626,0.9080459770114943,0.8731050117666422
abalone,NoOversampling,DecisionTreeClassifier(random_state=5),0.6095627906976744,0.5264713601168214,0.2867647058823529,0.2727272727272727,0.3023255813953488,0.14771711584366526
sick_euthyroid,NoOversampling,DecisionTreeClassifier(random_state=5),0.937365963052069,0.9364924124175011,0.848780487804878,0.8055555555555556,0.8969072164948454,0.7320871351265948
spectrometer,NoOversampling,DecisionTreeClassifier(random_state=5),0.7968944099378882,0.7721873425053443,0.7200000000000001,0.9,0.6,0.5740909090909091
car_eval_34,NoOversampling,DecisionTreeClassifier(random_state=5),0.9488528549249612,0.9480193710904536,0.888888888888889,0.8695652173913043,0.9090909090909091,0.7975190879325502
isolet,NoOversampling,DecisionTreeClassifier(random_state=5),0.7876683501683501,0.7676255409986146,0.599009900990099,0.587378640776699,0.6111111111111112,0.38886814372251266
us_crime,NoOversampling,DecisionTreeClassifier(random_state=5),0.7429064039408867,0.7146600004590697,0.49090909090909096,0.45,0.54,0.2779013657056146
yeast_ml8,NoOversampling,DecisionTreeClassifier(random_state=5),0.48586041604550356,0.24755403066073056,0.05970149253731344,0.05333333333333334,0.06779661016949153,0.07253812497345057
scene,NoOversampling,DecisionTreeClassifier(random_state=5),0.5579937304075235,0.43369087411965546,0.17518248175182483,0.1518987341772152,0.20689655172413793,0.08928895953265306
libras_move,NoOversampling,DecisionTreeClassifier(random_state=5),0.5489864864864865,0.34874291623145787,0.16666666666666666,0.25,0.125,0.0900735294117647
thyroid_sick,NoOversampling,DecisionTreeClassifier(random_state=5),0.9290779343568503,0.9270957614012472,0.8571428571428572,0.8461538461538461,0.868421052631579,0.7428499422792384
coil_2000,NoOversampling,DecisionTreeClassifier(random_state=5),0.5495142380836663,0.3829774398433245,0.15189873417721517,0.1485148514851485,0.15544041450777202,0.07336281649120441
arrhythmia,NoOversampling,DecisionTreeClassifier(random_state=5),0.7429577464788732,0.7021094974994094,0.5714285714285715,0.6666666666666666,0.5,0.36
solar_flare_m0,NoOversampling,DecisionTreeClassifier(random_state=5),0.5124297898897441,0.21099386401299391,0.06250000000000001,0.1,0.045454545454545456,0.050297088532382656
oil,NoOversampling,DecisionTreeClassifier(random_state=5),0.6276544401544402,0.5263335701121743,0.29629629629629634,0.3076923076923077,0.2857142857142857,0.12017015242821695
car_eval_4,NoOversampling,DecisionTreeClassifier(random_state=5),0.9972727272727273,0.9972689980870029,0.9333333333333333,0.875,1.0,0.875
wine_quality,NoOversampling,DecisionTreeClassifier(random_state=5),0.6432402055234425,0.5541729745489241,0.3015873015873016,0.2878787878787879,0.31666666666666665,0.11651721294578438
letter_img,NoOversampling,DecisionTreeClassifier(random_state=5),0.956711658897881,0.9559018155359581,0.9079754601226995,0.8987854251012146,0.9173553719008265,0.8275359409330703
yeast_me2,NoOversampling,DecisionTreeClassifier(random_state=5),0.66484268125855,0.5871398829359686,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.14701645364027965
webpage,NoOversampling,DecisionTreeClassifier(random_state=5),0.8594840582020069,0.850358042257423,0.6467391304347826,0.5776699029126213,0.7345679012345679,0.4318303627175644
ozone_level,NoOversampling,DecisionTreeClassifier(random_state=5),0.6494464944649446,0.567321089447753,0.26666666666666666,0.2222222222222222,0.3333333333333333,0.09318996415770608
mammography,NoOversampling,DecisionTreeClassifier(random_state=5),0.7983033899945167,0.7744592419073697,0.6227544910179641,0.6419753086419753,0.6046511627906976,0.3973827126267905
protein_homo,NoOversampling,DecisionTreeClassifier(random_state=5),0.8712895216137424,0.862136241855913,0.7266514806378133,0.7088888888888889,0.7453271028037384,0.5306203082603893
abalone_19,NoOversampling,DecisionTreeClassifier(random_state=5),0.49415204678362573,0.0,0.0,0.0,0.0,0.007976794778825236
