dataset,oversampler,proportion,runtime,classifier,balanced_accuracy,geometric_mean,f1_score,precision,recall,avg_precision (AUPRC)
mammography,SMOTE,0.7,0.01524496078491211,DecisionTreeClassifier(random_state=5),0.8479824533109699,0.8384103853871714,0.5210084033613445,0.40789473684210525,0.7209302325581395,0.3005659503897634
mammography,SMOTE,0.5,0.010543107986450195,DecisionTreeClassifier(random_state=5),0.8382962939070413,0.8264176695622617,0.5405405405405405,0.4411764705882353,0.6976744186046512,0.31484169909355436
mammography,SMOTE,0.1,0.003262042999267578,DecisionTreeClassifier(random_state=5),0.8607312195593975,0.8511344746168124,0.6666666666666666,0.6116504854368932,0.7325581395348837,0.45430091526874633
mammography,SMOTE,0.3,0.006994247436523438,DecisionTreeClassifier(random_state=5),0.816427442505564,0.7995257117435267,0.5384615384615384,0.45901639344262296,0.6511627906976745,0.3070222743537593
mammography,SMOTE,0.9,0.018524885177612305,DecisionTreeClassifier(random_state=5),0.8133761248911395,0.7970367336282349,0.4869565217391305,0.3888888888888889,0.6511627906976745,0.26135785278388596
mammography,SMOTE,1.0,0.02378511428833008,DecisionTreeClassifier(random_state=5),0.8425845885882012,0.8319763381816414,0.5213675213675214,0.41216216216216217,0.7093023255813954,0.2991208123246772
mammography,synthsonic,0.9,3.275118112564087,DecisionTreeClassifier(random_state=5),0.8450811211818212,0.8341020441428145,0.5648148148148149,0.46923076923076923,0.7093023255813954,0.33959970803613104
mammography,synthsonic,1.0,3.315558910369873,DecisionTreeClassifier(random_state=5),0.822102699738735,0.8065187753028294,0.5428571428571429,0.4596774193548387,0.6627906976744186,0.31252686681559305
mammography,synthsonic,0.3,3.2508029937744136,DecisionTreeClassifier(random_state=5),0.8538076960294165,0.8434045064501967,0.6326530612244898,0.5636363636363636,0.7209302325581395,0.41284479761353104
mammography,synthsonic,0.1,3.3091630935668945,DecisionTreeClassifier(random_state=5),0.848548527561849,0.8370454580615085,0.6387434554973822,0.580952380952381,0.7093023255813954,0.4188441070479719
mammography,synthsonic,0.5,3.499009132385254,DecisionTreeClassifier(random_state=5),0.8169822275263685,0.7999774212212253,0.5490196078431372,0.4745762711864407,0.6511627906976745,0.31715428776833826
mammography,synthsonic,0.7,3.387440919876098,DecisionTreeClassifier(random_state=5),0.8171209237815695,0.8000903087433029,0.5517241379310345,0.47863247863247865,0.6511627906976745,0.319795539128549
mammography,ADASYN,0.5,0.2404139041900635,DecisionTreeClassifier(random_state=5),0.8268070831854981,0.8126424210042826,0.5296803652968036,0.43609022556390975,0.6744186046511628,0.30169338147559016
mammography,ADASYN,0.7,0.24452567100524905,DecisionTreeClassifier(random_state=5),0.8294310228042447,0.8169435130685708,0.48559670781893005,0.37579617834394907,0.686046511627907,0.26512874799727637
mammography,ADASYN,0.3,0.2357199192047119,DecisionTreeClassifier(random_state=5),0.8018869141695966,0.7827857973225422,0.47577092511013214,0.3829787234042553,0.627906976744186,0.24914474956870497
