name,oversampler,proportion,balanced acc,precision,recall,f1_score,geometric mean,average precision
ecoli,RandomOverSampler,0.3,0.8738095238095238,0.35714285714285715,0.8333333333333334,0.5,0.8728715609439696,0.30662805662805664
ecoli,RandomOverSampler,0.5,0.8833333333333333,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.8819171036881969,0.3562312312312313
ecoli,RandomOverSampler,0.7,0.8738095238095238,0.35714285714285715,0.8333333333333334,0.5,0.8728715609439696,0.30662805662805664
ecoli,RandomOverSampler,0.9,0.9523809523809524,0.375,1.0,0.5454545454545454,0.951189731211342,0.375
ecoli,RandomOverSampler,1.0,0.7904761904761904,0.3076923076923077,0.6666666666666666,0.42105263157894735,0.7807200583588265,0.22314622314622315
optical_digits,RandomOverSampler,0.3,0.9605140961857378,0.988095238095238,0.9222222222222224,0.9540229885057472,0.9597505203748876,0.918790556054707
optical_digits,RandomOverSampler,0.5,0.9654726368159204,0.9767441860465116,0.9333333333333332,0.9545454545454544,0.964937551146156,0.918096909672162
optical_digits,RandomOverSampler,0.7,0.9744029850746267,0.9884393063583816,0.95,0.9688385269121812,0.9740973625063312,0.9438690930620256
optical_digits,RandomOverSampler,0.9,0.9713266998341624,0.9826589595375722,0.9444444444444444,0.963172804532578,0.9709546344479164,0.933457630698333
optical_digits,RandomOverSampler,1.0,0.9688474295190712,0.9883040935672516,0.9388888888888888,0.962962962962963,0.968384132216664,0.9338376514311636
satimage,RandomOverSampler,0.3,0.7975070906105388,0.7386363636363636,0.6190476190476191,0.6735751295336787,0.7772835882633633,0.4949158656785776
satimage,RandomOverSampler,0.5,0.8202716823406478,0.7368421052631579,0.6666666666666666,0.7,0.8057612127732091,0.5241847556744971
satimage,RandomOverSampler,0.7,0.8028213166144201,0.7150537634408602,0.6333333333333333,0.6717171717171717,0.7847266338884012,0.48911973756150895
satimage,RandomOverSampler,0.9,0.8207941483803552,0.7446808510638298,0.6666666666666666,0.7035175879396984,0.8061933722104326,0.5294105862082782
satimage,RandomOverSampler,1.0,0.8232049559635767,0.7135678391959799,0.6761904761904762,0.6943765281173594,0.8099710749527042,0.5145228428935098
pen_digits,RandomOverSampler,0.3,0.9923792196761364,0.9913544668587896,0.98567335243553,0.9885057471264368,0.9923565624258092,0.9785298505911588
pen_digits,RandomOverSampler,0.5,0.9925317051900128,0.9942196531791908,0.98567335243553,0.9899280575539569,0.992508009441178,0.9813539883969412
pen_digits,RandomOverSampler,0.7,0.9923792196761364,0.9913544668587896,0.98567335243553,0.9885057471264368,0.9923565624258092,0.9785298505911588
pen_digits,RandomOverSampler,0.9,0.9925317051900128,0.9942196531791908,0.98567335243553,0.9899280575539569,0.992508009441178,0.9813539883969412
pen_digits,RandomOverSampler,1.0,0.9922267341622604,0.9885057471264368,0.98567335243553,0.9870875179340028,0.9922050922940522,0.9757219434624216
abalone,RandomOverSampler,0.3,0.6075376131391237,0.3274336283185841,0.27611940298507465,0.29959514170040485,0.5091796552859021,0.1607516046545686
abalone,RandomOverSampler,0.5,0.6026014505784332,0.3130434782608696,0.26865671641791045,0.2891566265060241,0.5016068408282423,0.1551672228133225
abalone,RandomOverSampler,0.7,0.5923275190313493,0.2833333333333333,0.2537313432835821,0.2677165354330709,0.4860087649115194,0.14440686343482007
abalone,RandomOverSampler,0.9,0.6086914823472996,0.28368794326241137,0.29850746268656714,0.2909090909090909,0.5237281686421529,0.15284830533890342
abalone,RandomOverSampler,1.0,0.607888269495894,0.2797202797202797,0.29850746268656714,0.2888086642599278,0.5232701640345288,0.15166392816214772
sick_euthyroid,RandomOverSampler,0.3,0.940770575746222,0.9009900990099008,0.8921568627450981,0.8965517241379312,0.9395136950029641,0.8143608985645016
sick_euthyroid,RandomOverSampler,0.5,0.9451417509679032,0.8932038834951457,0.9019607843137256,0.8975609756097561,0.9441548249844856,0.8152134193706497
sick_euthyroid,RandomOverSampler,0.7,0.9451417509679032,0.8932038834951457,0.9019607843137256,0.8975609756097561,0.9441548249844856,0.8152134193706497
sick_euthyroid,RandomOverSampler,0.9,0.9446109654052705,0.8846153846153846,0.9019607843137256,0.8932038834951457,0.9436476238600591,0.8074669301849828
sick_euthyroid,RandomOverSampler,1.0,0.9587860621955788,0.8796296296296297,0.931372549019608,0.9047619047619048,0.9583940798835598,0.8259678711842335
spectrometer,RandomOverSampler,0.3,0.9317425083240845,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9304325727719488,0.7466577540106952
spectrometer,RandomOverSampler,0.5,0.9317425083240845,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9304325727719488,0.7466577540106952
spectrometer,RandomOverSampler,0.7,0.8729189789123196,0.8125,0.7647058823529411,0.787878787878788,0.8661855860486004,0.6440508021390374
spectrometer,RandomOverSampler,0.9,0.8729189789123196,0.8125,0.7647058823529411,0.787878787878788,0.8661855860486004,0.6440508021390374
